,name,success_rate2.0
63,Коллаж с фотографиями «Технограда»,0.51
27,Знаток Москвы,0.51
13,Выполнение нормативов ГТО в парках,0.51
20,Дневник передвижений,0.5
225,Участие в фокус группе по вопросам об остановках городского транспорта Москвы,0.5
148,Проверка знаний по вопросам волонтерской деятельности,0.5
123,Посетите экскурсию по парку Rampstroy (м. Савеловская),0.5
141,Проведение фотосъемки в парках,0.5
241,Фотосъемка  новогодних инсталляций в парках,0.5
254,Фотосъемка памятных объектов,0.5
165,Рассказ о любимом парке «Дружба»,0.5
7,Вебинар на сайте «МГУУ»,0.5
252,Фотосъемка народного парка,0.5
169,Рассказ о любимом парке Фили,0.5
228,Фиксация снежных свесов и ледяных образований на кровле,0.49
239,Фото подборка креативных пространств столицы,0.49
240,Фотосъемка  на фоне павильонов ВДНХ,0.49
46,Квест «Экономика Москвы»: Посмотреть на скульптуру «Цветок сирени» в Сиреневом саду ,0.48
94,Поиск осуществления самостроя в городе Москве,0.48
113,Популяризация экологических премий,0.48
91,Поиск кружков и спортивных секций,0.47
8,Видеосъемка в парках,0.47
82,Онлайн-викторина по билетной системе БКЛ,0.47
244,Фотосъемка в парке,0.46
171,Рассказ о своем районе для участия в спецпроекте на сайте «Активный гражданин»,0.45
222,Участие в серии тренировок по подготовке к выполнению ГТО в парках,0.45
9,Видеосъёмка в парках,0.44
161,Прохождение профтестирования в Центре занятости населения,0.44
200,Тестирование оформления «Пушкинской карты»,0.44
199,Тестирование мобильного приложения «Моя Москва»,0.44
3,Анкетирование на сайте «Мосволонтер»,0.43
140,Проведение опросов для Музея Транспорта Москвы,0.42
181,Соберите коллаж с фотографиями МЦД-4 ,0.41
142,Проведение фотосъемки ключевых объектов маршрута «Тайны Зеленой планеты» программы «Играй в Москву!»,0.4
129,Посещение лекции о правильном питании на фестивале «День молодежи» ,0.4
195,Тестирование мобильного приложения,0.4
110,Популяризация проекта «День без турникетов»,0.39
116,Посетите экскурсию по БИБЛИО-ГЛОБУС,0.39
194,Тестирование,0.38
117,Посетите экскурсию по ГБУ ЦСИ Диана Гурцкая,0.38
227,Участие волонтеров в мероприятии ГБУ «Мосволонтер»,0.37
101,Популяризация арт-объектов в парке «Зарядье»,0.33
164,Рассказ о любимом парке,0.32
218,Участие в мероприятиях,0.31
124,Посетите экскурсию по парку Rampstroy (м. Шоссе Энтузиастов),0.3
262,Экскурсии в Приложении,0.3
242,Фотосъемка аварийных деревьев,0.3
184,Сфотографировать QR таблички,0.3
162,Прохождение экскурсионного маршрута от проекта «День без турникета» по компаниям в сфере строительства 29 сентября,0.3
237,Финансовое приключение,0.29
119,Посетите экскурсию по Флагманскому офису «Мои Документы» ЮВАО»,0.29
196,Тестирование мобильного приложения ,0.28
17,День флага – мой день!,0.27
125,Посетите экскурсию по скейт-парк и школа экстремальных видов спорта «Bunny Hop» (Электрозаводская),0.25
121,Посетите экскурсию по библиотеке материалов «Практика»,0.25
253,Фотосъемка новогодних инсталляций в парках,0.24
137,Посещение тренировки на фестивале «День молодежи»,0.22
120,Посетите экскурсию по ЭПЦ «Скворечник»,0.22
88,Подтверждение идей,0.22
163,Прохождение экскурсионного маршрута от проекта «День без турникета» по компаниям в сфере строительства 30 сентября,0.21
12,Выполнение нормативов ГТО,0.21
122,Посетите экскурсию по галерее ArtMaison,0.18
15,Гимн о своем районе,0.18
79,Новые адреса счастья ,0.16
109,Популяризация программы «Пушкинская карта»,0.14
246,Фотосъемка для участия в акции «Мой двор» проекта «Активный гражданин»,0.13
126,Посетите экскурсию по скейт-парку и школе экстремальных видов спорта «Bunny Hop» ЦДМ,0.12
173,Рекомендация подключения автомобиля к сервису «Рули»,0.04
